relicDataID,Name,Description,Remarks
04397cf6-0fdd-4ae6-aa53-1e60d3ca7e46,Advanced Prototype,Train Steward units gain Damage Shield 2 and Multistrike 1,
b6bae748-ab1a-4bfe-9ef8-4e5f7d43afc4,Boon of the Blacksmith,Your Pyre gets +15 damage,
1e972d81-fc2f-4d4a-ade9-46edeb246dbd,Cleansing Water,50% chance to remove all Buff effects on an enemy unit when it enters your train,
2fe90c61-3b6e-4290-a984-e4ef6e8f3e2d,Concussive Coals,50% chance to apply Dazed when an enemy unit enters your train,
1d4b98db-c6b4-44fb-b3cb-2242fdff06cb,Forever Flame,Units cost -2 Ember,
ffcb6931-e45e-4e27-bacf-4c649779c2be,Guild Marker,Merchant costs are reduced by 25%,
fecb41b4-fd26-4f5c-aa1b-84152e090fa2,Hammered Chestplates,Friendly units get +3 HP,
088041a7-fdbf-43d7-8ee6-b6720ce747b8,Hell's Banners,"When you summon the second unit during a turn, gain 3 Ember",
b8071ec7-60b6-4526-bd2e-877ba90310d0,Improved Firebox,Gain 7 Ember on the first turn of battle,
18217b11-1a34-436c-9c5a-7326c5b655a0,Infused Mallet,25% chance to deal 5 damage when an enemy unit enters your train,
8da05b19-a15f-4988-82b6-b47b2685fbb8,Iron Dropcage,Apply Dazed 3 to enemy units that are moved beween floors outside of the ascension phase,
269a6f43-9982-4683-ac39-1a862e481898,Jackstrips,Deal 2 damage whenever an enemy unit moves between floors,
c6bd4947-2c30-4703-bf5c-80ec070efb67,Light's Gift,Apply Dazed to enemy units when they enter the floor below the Pyre Room,
60a7f580-0788-42f2-8896-cb8d22e849a5,Lightstone Casing,Spells gain an extra upgrade slot,
3203c2d3-58f3-4f38-888e-886d8faae758,Pyrestone Housing,Units gain an extra upgrade slot,
832037fc-aa99-4822-b03b-7146aaad2b51,Precious Plating,Your Pyre gains +40 Health,
22fd0117-f7bf-405e-8a8e-863396c8a679,Pyrewall,Your Pyre starts with Armor 15 each battle,
4821aca0-4bb9-4a2b-b196-5ffb5d6ede5e,Refracting Lenses,"When a card with Consume is played, restore 5 Pyre health",
297c5b7b-efb1-4834-96e0-de4a7e42ccbc,Sketches of Salvation,"At the start of battle, summon 4 random units from your deck on the middle floor",
9cc85dbb-d0ae-409b-8f26-41d2202eb1e0,Split Anvil,"When you play a spell, spells in hand that cost less are reduced to 0 Ember for the turn",
